,epoch,forecasting_horizon,validation_mape,validation_mae,validation_rmse,test_mape,test_mae,test_rmse
0.0,0.0,3.0,0.16892236145164408,3.689043691867124,5.372809542775748,0.16050422291257926,3.583444503353172,5.246401567974109
1.0,0.0,6.0,0.16864756954662474,3.68570280875311,5.367071655189044,0.16042371836573605,3.5823430239349476,5.243037702485031
2.0,0.0,9.0,0.16839750826599703,3.681976047186221,5.360179216567464,0.16035897953993605,3.5815944906140555,5.241084801733134
3.0,0.0,12.0,0.1935821789964003,4.167428112352505,5.881655134698709,0.1826078687471986,4.042716535130676,5.723616859173723
4.0,10.0,3.0,0.15294094247171555,3.3132130075900306,4.8964678957203835,0.14397912784531444,3.1893353680451826,4.732108973201419
5.0,10.0,6.0,0.1527099556647376,3.3096020298806867,4.889460704681868,0.14386249241635868,3.186845927728835,4.7269063663451245
6.0,10.0,9.0,0.1524965515708461,3.3044085458661008,4.880388051361465,0.14374063762369368,3.184075326473103,4.722805051784706
7.0,10.0,12.0,0.17179924606871072,3.6518362486293467,5.347110152194278,0.1610032702707231,3.5184191627144688,5.159261970603056
8.0,20.0,3.0,0.15294094247171555,3.2946167211252293,4.832153561212055,0.14838307294773606,3.17573637376241,4.672086355653214
9.0,20.0,6.0,0.1527099556647376,3.2897482649968977,4.8241650878327835,0.1482916551552858,3.1740393211525193,4.667720832779726
10.0,20.0,9.0,0.1524965515708461,3.2845481077524763,4.814797072993238,0.14821769957619388,3.1724262005623007,4.664695970494384
11.0,20.0,12.0,0.17179924606871072,3.6518362486293467,5.338459850694441,0.17117520773455777,3.550292919699886,5.177300811810734
12.0,30.0,3.0,0.14656111478827352,3.1979055273413377,4.743050682125863,0.13766182065798577,3.085175831939757,4.597135951871616
13.0,30.0,6.0,0.14635215539600555,3.1940694413555777,4.7354735981839156,0.13754224627787218,3.0826175778337497,4.592060304648534
14.0,30.0,9.0,0.14616602824871178,3.1888268783936193,4.725529304829318,0.1374327593625137,3.0801485190664293,4.588366787917639
15.0,30.0,12.0,0.15647326488063085,3.4190352881893036,5.11369859260893,0.14709437681352283,3.3236303098716666,4.988094838829944
16.0,40.0,3.0,0.14656111478827352,3.1979055273413377,4.739213346936863,0.14088179933160958,3.0882923615155944,4.581166247359707
17.0,40.0,6.0,0.14635215539600555,3.1940694413555777,4.731034095553329,0.1407748179458094,3.0861499943236224,4.576571916857952
18.0,40.0,9.0,0.14616602824871178,3.1888268783936193,4.7213008671486385,0.14068585105343195,3.084250806021202,4.573431011874689
19.0,40.0,12.0,0.15647326488063085,3.4190352881893036,5.11369859260893,0.15498210957131617,3.338551667073929,4.981662366640013
20.0,50.0,3.0,0.14656111478827352,3.1927156517342064,4.724144815300476,0.13873510366378836,3.0725556409188886,4.567583558661934
21.0,50.0,6.0,0.14635215539600555,3.1887446911791764,4.716484008779439,0.13862467018991106,3.070281342579519,4.5629054669928
22.0,50.0,9.0,0.14616602824871178,3.1837629618084327,4.707119293481211,0.1385284026093578,3.068223110315404,4.559615217838878
23.0,50.0,12.0,0.15647326488063085,3.415167303338919,5.0970698610670535,0.150427693023931,3.2959472170954247,4.94543168288862
24.0,60.0,3.0,0.14656111478827352,3.1927156517342064,4.723511601862916,0.13924506695043157,3.0737449050267855,4.565656057351712
25.0,60.0,6.0,0.14635215539600555,3.1887446911791764,4.715623917921152,0.1391338540249921,3.07149315862443,4.56097912202106
26.0,60.0,9.0,0.14616602824871178,3.1837629618084327,4.70611323110767,0.1390399825135462,3.069514565212688,4.557759857097115
27.0,60.0,12.0,0.15647326488063085,3.415167303338919,5.0970698610670535,0.15140421319280165,3.3006818327862453,4.949363339604906
28.0,70.0,3.0,0.14656111478827352,3.1891060057731413,4.717250369118553,0.1386318688789364,3.069850911831315,4.562663875919919
29.0,70.0,6.0,0.14635215539600555,3.1850295881624042,4.709352413240763,0.13851906805602704,3.0675427236465347,4.557920536485775
30.0,70.0,9.0,0.14616602824871178,3.1799420430869985,4.699789908583823,0.13842316224909365,3.065503986234522,4.5546375057329325
31.0,70.0,12.0,0.15647326488063085,3.4052701008277166,5.087034356373815,0.1498820479950677,3.2886194279424297,4.940504036372378
32.0,80.0,3.0,0.14656111478827352,3.1891060057731413,4.717250369118553,0.1386318688789364,3.069850911831315,4.562663875919919
33.0,80.0,6.0,0.14635215539600555,3.1850295881624042,4.709352413240763,0.13851906805602704,3.0675427236465347,4.557920536485775
34.0,80.0,9.0,0.14616602824871178,3.1799420430869985,4.699789908583823,0.13842316224909365,3.065503986234522,4.5546375057329325
35.0,80.0,12.0,0.15647326488063085,3.4052701008277166,5.087034356373815,0.1498820479950677,3.2886194279424297,4.940504036372378
36.0,90.0,3.0,0.14656111478827352,3.1891060057731413,4.717250369118553,0.1386318688789364,3.069850911831315,4.562663875919919
37.0,90.0,6.0,0.14635215539600555,3.1850295881624042,4.709352413240763,0.13851906805602704,3.0675427236465347,4.557920536485775
38.0,90.0,9.0,0.14616602824871178,3.1799420430869985,4.699789908583823,0.13842316224909365,3.065503986234522,4.5546375057329325
39.0,90.0,12.0,0.15647326488063085,3.4052701008277166,5.087034356373815,0.1498820479950677,3.2886194279424297,4.940504036372378
