,epoch,forecasting_horizon,validation_mape,validation_mae,validation_rmse,test_mape,test_mae,test_rmse
0.0,0.0,3.0,0.1850802882402257,3.775455634637361,5.464639354460104,0.17452254685369134,3.657750166003918,5.308275843689699
1.0,0.0,6.0,0.18478712880994336,3.771832801513081,5.458518799864608,0.17436849714953512,3.65560815019908,5.304140292639875
2.0,0.0,9.0,0.18450400054178473,3.766991739524357,5.450440097533196,0.1742775059326734,3.654468449937702,5.301720874759512
3.0,0.0,12.0,0.1956441065298608,3.94423141178208,5.6574241589507634,0.18472881890366083,3.818635615713526,5.484610294985388
4.0,10.0,3.0,0.1454347551253432,3.151802455321813,4.687501309491383,0.13961737004404176,3.0706518471010114,4.598321208211637
5.0,10.0,6.0,0.14520570541865696,3.147314993801379,4.679539839182771,0.1394865677885769,3.0680159378359977,4.593299793647104
6.0,10.0,9.0,0.14499733560449768,3.142274296206539,4.672093496237033,0.13937974334833092,3.0655842211569,4.589340899010331
7.0,10.0,12.0,0.14600529669358628,3.162949754709181,4.724548248343114,0.14063040888259945,3.1003520073374347,4.659840367907456
8.0,20.0,3.0,0.14467634094936296,3.1218384697709647,4.592829700860157,0.13877745499703717,3.0338823929849505,4.498924536585796
9.0,20.0,6.0,0.1444096636898289,3.1164386637144292,4.585678028214747,0.1386386273512413,3.031442736555308,4.494506591174422
10.0,20.0,9.0,0.1441845881604408,3.1111400132326263,4.5786781047705185,0.13854599729909856,3.0293566488911905,4.490816690261593
11.0,20.0,12.0,0.14600529669358628,3.141865610198298,4.639894074483333,0.13989360595937989,3.046619902451128,4.540692694265267
12.0,30.0,3.0,0.1399031052440342,3.079605204672155,4.544815811236014,0.13430216563635797,2.999323152136909,4.462242994607488
13.0,30.0,6.0,0.13966256690056653,3.074809395775844,4.538984899116882,0.13417391318497582,2.9967855155730487,4.4579783009041005
14.0,30.0,9.0,0.13948279657659934,3.0702620388867956,4.533157674041453,0.13406474438373758,2.994135119173957,4.453985439339128
15.0,30.0,12.0,0.13959832797349983,3.083440853203828,4.573915683283877,0.1339922355265167,3.0071205563797814,4.4916386335667084
16.0,40.0,3.0,0.1399031052440342,3.079605204672155,4.544815811236014,0.13588755285894735,2.999557607520323,4.452045225021883
17.0,40.0,6.0,0.13966256690056653,3.074809395775844,4.538984899116882,0.13576513402924528,2.997207839564555,4.448094248092155
18.0,40.0,9.0,0.13948279657659934,3.0702620388867956,4.533157674041453,0.13567130567560945,2.9949367806318103,4.444405512193861
19.0,40.0,12.0,0.13959832797349983,3.083440853203828,4.566554190156599,0.13551951859759961,2.9933557035700837,4.466283451616132
20.0,50.0,3.0,0.1399031052440342,3.079605204672155,4.543781461542052,0.13587771262667636,2.999533647349763,4.452824880158235
21.0,50.0,6.0,0.13966256690056653,3.074809395775844,4.53817048620413,0.1357578035441389,2.9972598577614478,4.448999690831259
22.0,50.0,9.0,0.13948279657659934,3.0702620388867956,4.532703514046509,0.1356644448453772,2.9949996260367797,4.445305994235688
23.0,50.0,12.0,0.13959832797349983,3.0833493027809546,4.563020371174327,0.13559449766523024,2.993043880190936,4.46569841090763
24.0,60.0,3.0,0.1399031052440342,3.079605204672155,4.543184517797609,0.1355318134731442,2.9979755856085943,4.450991781828416
25.0,60.0,6.0,0.13966256690056653,3.074809395775844,4.537725928681377,0.13541170355180715,2.995661168810519,4.447118669278954
26.0,60.0,9.0,0.13948279657659934,3.0702620388867956,4.532300843376306,0.13531778096514344,2.9933504781384714,4.443386524294225
27.0,60.0,12.0,0.13959832797349983,3.0827918144203967,4.562508614046464,0.1351925206840077,2.990787451765364,4.4624651021695385
28.0,70.0,3.0,0.1399031052440342,3.079605204672155,4.541062181072088,0.1354556493505418,2.9978107704961734,4.451109846073531
29.0,70.0,6.0,0.13966256690056653,3.074809395775844,4.535686955907749,0.13533475092526495,2.995498339384194,4.4472520928879655
30.0,70.0,9.0,0.13948279657659934,3.0702620388867956,4.5302881038954,0.1352401730757556,2.993205941768341,4.443567104154173
31.0,70.0,12.0,0.13959832797349983,3.081440231113232,4.561290372650968,0.1350701733737827,2.989986422602965,4.461654892339845
32.0,80.0,3.0,0.1399031052440342,3.079605204672155,4.541062181072088,0.1354556493505418,2.9978107704961734,4.451109846073531
33.0,80.0,6.0,0.13966256690056653,3.074809395775844,4.535686955907749,0.13533475092526495,2.995498339384194,4.4472520928879655
34.0,80.0,9.0,0.13948279657659934,3.0702620388867956,4.5302881038954,0.1352401730757556,2.993205941768341,4.443567104154173
35.0,80.0,12.0,0.13959832797349983,3.081440231113232,4.561290372650968,0.1350701733737827,2.989986422602965,4.461654892339845
36.0,90.0,3.0,0.1399031052440342,3.079605204672155,4.541062181072088,0.1354556493505418,2.9978107704961734,4.451109846073531
37.0,90.0,6.0,0.13966256690056653,3.074809395775844,4.535686955907749,0.13533475092526495,2.995498339384194,4.4472520928879655
38.0,90.0,9.0,0.13948279657659934,3.0702620388867956,4.5302881038954,0.1352401730757556,2.993205941768341,4.443567104154173
39.0,90.0,12.0,0.13959832797349983,3.081440231113232,4.561290372650968,0.1350701733737827,2.989986422602965,4.461654892339845
